machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes,source_url,source_status,source_confidence,source_query,source_candidate_count,source_reason,canonical_machine_name,manufacturer_canonical,cabinet_type,game_type,bt_flag,at_initial_setting1,at_initial_setting2,at_initial_setting3,at_initial_setting4,at_initial_setting5,at_initial_setting6,bonus_initial_setting1,bonus_initial_setting2,bonus_initial_setting3,bonus_initial_setting4,bonus_initial_setting5,bonus_initial_setting6,bonus_combined_setting1,bonus_combined_setting2,bonus_combined_setting3,bonus_combined_setting4,bonus_combined_setting5,bonus_combined_setting6,combined_initial_setting1,combined_initial_setting2,combined_initial_setting3,combined_initial_setting4,combined_initial_setting5,combined_initial_setting6,rtp_complete_setting1,rtp_complete_setting2,rtp_complete_setting3,rtp_complete_setting4,rtp_complete_setting5,rtp_complete_setting6,source_title,source_checked_at
ゴールデンカムイ,GINZA（銀座）,2024-04-08,スマスロ / AT,97.9,98.6,100.8,105.4,108.8,113.3,,,,,,,,,,,,,AT初当り:1/424〜1/322 天井:1800ピュウ,https://1geki.jp/slot/l_golden_kamui/,selected,0.9,ゴールデンカムイ,1,title_contains,ゴールデンカムイ,銀座,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サラリーマン金太郎,EXCITE（エキサイト）,2025-01-06,スマスロ / AT,97.8,99.1,100.5,104.1,108.2,114.9,,,,,,,,,,,,,スマスロ/ATタイプ、BONUS純増約6.0枚/G、AT純増約4.0枚/G、天井は最大999G+α,https://1geki.jp/slot/l_kintaro/,selected,1.0,サラリーマン金太郎,1,manual_verified_distinct_machine,サラリーマン金太郎,エキサイト,スマスロ,AT,0,1/844,1/813,1/781,1/712,1/641,1/574,1/417,1/408,1/400,1/387,1/373,1/356,,,,,,,1/279,1/272,1/265,1/251,1/236,1/220,,,,,,,サラリーマン金太郎（スマスロ）解析攻略,2026-08-30
サラリーマン金太郎～MAX～,EXCITE,2019-11-05,AT,97.6,98.9,100.9,104.7,107.5,112.1,,,,,,,,,,,,,AT初当り:1/430〜1/308 天井:750G,https://1geki.jp/slot/s_sarakinmax/,selected,0.85,サラリーマン金太郎～MAX～,1,title_contains,サラリーマン金太郎～MAX～,EXCITE,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シャア専用パチスロ 逆襲の赤い彗星,ビスティ,2020-08-03,AT,97.6,98.9,100.2,104.3,106.2,109.1,,,,,,,,,,,,,AT初当り:1/799〜1/450 天井:250G+α,https://1geki.jp/slot/s_char/,selected,0.9,シャア専用パチスロ 逆襲の赤い彗星,1,title_contains,シャア専用パチスロ 逆襲の赤い彗星,ビスティ,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シャーマンキング,ELECO（エレコ）,2025-02-03,スマスロ / AT,98.0,98.9,101.2,105.9,109.8,114.3,,,,,,,,,,,,,設定6機械割114.3%(現役最高峰水準)、設定6AT「シャーマンファイト」初当り1/400切る、コイン単価4.2円、1G純増2.5or5.4枚のAT機,https://1geki.jp/slot/l_shamanking/,selected,0.9,シャーマンキング,1,title_contains,シャーマンキング,エレコ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シン・エヴァンゲリオン,Bisty（ビスティ）,2025-01-20,スマスロ / AT,98.2,99.2,101.5,105.4,110.2,114.9,,,,,,,,,,,,,AT確率:1/356〜1/259 天井:1000G,https://1geki.jp/slot/l_shin_eva/,selected,0.85,シン・エヴァンゲリオン,1,title_contains,シン・エヴァンゲリオン,ビスティ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジャグラーガールズ,北電子,2024-04-08,ノーマル,97.0,97.9,99.9,102.1,104.0,107.5,1/273.1,1/270.8,1/260.1,1/250.1,1/243.6,1/226.0,1/381.0,1/350.5,1/316.6,1/281.3,1/270.8,1/252.1,6号機「ジャグラーガールズSS」データ 天井:非搭載,https://1geki.jp/slot/s_jag_girls/,selected,0.9,ジャグラーガールズ,1,title_contains,ジャグラーガールズ,北電子,メダル,ノーマル,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ストライクウィッチーズ2,SanThree（サンスリー）,2024-02-05,スマスロ / AT,97.6,98.8,100.9,104.9,109.2,114.9,,,,,,,,,,,,,ストライクボーナス確率1/432(設定1)〜1/349(設定6)、機械割97.6%(設定1)〜114.9%(設定6)、ボーナス直撃当選率(CZ非経由)に大きな設定差(1/8738.1→1/1747.6)、撃墜チャレンジ(CZ)突入率は設定間差わずか(1/245.6〜1/240.6)、2024年2月導入,https://1geki.jp/slot/l_strikewitches2/,selected,0.85,ストライクウィッチーズ2,1,title_contains,ストライクウィッチーズ2,サンスリー,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ストライク・ザ・ブラッド,エンターライズ,2024-04-08,スマスロ / A+AT,97.5,98.6,100.4,104.5,107.2,110.1,1/199.8,1/198.6,1/197.4,1/196.2,1/195.0,1/193.9,,,,,,,BB/RB合算確率 天井:599G,https://1geki.jp/slot/l_strike_the_blood/,selected,0.9,ストライク・ザ・ブラッド,1,title_contains,ストライク・ザ・ブラッド,エンターライズ,スマスロ,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマスロ ギルティクラウン2,ACROSS（アクロス）,2025-06-02,スマスロ / A+AT,97.9,98.9,101.4,105.4,110.0,113.6,,,,,,,,,,,,,ギルティクラウン2と同一,https://1geki.jp/slot/l_guiltycrown2/,selected,0.9,スマスロ ギルティクラウン2,1,title_contains,スマスロ ギルティクラウン2,アクロス,スマスロ,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマスロ サンダーV,ELECO（エレコ）,2026-03-02,スマスロ / ノーマル / BT,98.5,100.0,,,102.9,106.0,1/277.7,1/275.4,,,1/270.8,1/264.3,1/434.0,1/394.8,,,1/344.9,1/313.6,スマスロ/ノーマル(A)タイプ/ボーナストリガー、機械割(完全攻略)は設定1=98.5%(100.5%)/設定2=100.0%(102.0%)/設定5=102.9%(105.0%)/設定6=106.0%(108.1%)(設定3・4未掲載)、BB:RB確率(合算)は設定1=1/277.7:1/434.0(合算1/169.3)、設定2=1/275.4:1/394.8(合算1/162.2)、設定5=1/270.8:1/344.9(合算1/151.7)、設定6=1/264.3:1/313.6(合算1/143.4)、リプレイ(1/7.3)とチェリーA(1/99.8)以外の小役に設定差、ライジンゾーン(BB消化後の演出変化ゾーン)、ボーナス合算は設定1=1/169.3/設定2=1/162.2/設定5=1/151.7/設定6=1/143.4,https://1geki.jp/slot/l_thunder_v/,selected,0.9,スマスロ サンダーV,2,title_contains,スマスロ サンダーV,エレコ,スマスロ,ノーマル,1,,,,,,,,,,,,,1/169.3,1/162.2,,,1/151.7,1/143.4,,,,,,,,,,,,,,
スマスロ ドルアーガの塔,MIZUHO（ミズホ）,2025-09-08,スマスロ / A+AT,99.0,100.3,,,102.3,104.9,1/299.3,1/291.3,,,1/280.1,1/266.4,1/448.9,1/436.9,,,1/420.1,1/399.6,A+ATタイプ/スマスロ、4段階設定、機械割は設定1=99.0%(完全攻略101.7%)/設定2=100.3%(103.1%)/設定5=102.3%(105.2%)/設定6=104.9%(107.9%)、BB:RB確率(合算)は設定1=1/299.3:1/448.9(合算1/179.6)、設定2=1/291.3:1/436.9(合算1/174.8)、設定5=1/280.1:1/420.1(合算1/168.0)、設定6=1/266.4:1/399.6(合算1/159.8)、BB獲得枚数平均252枚、ボーナス合算は設定1=1/179.6/設定2=1/174.8/設定5=1/168.0/設定6=1/159.8,https://1geki.jp/slot/s_druaga/,selected,0.9,スマスロ ドルアーガの塔,2,title_contains,スマスロ ドルアーガの塔,ミズホ,スマスロ,A+AT,0,,,,,,,,,,,,,1/179.6,1/174.8,,,1/168.0,1/159.8,,,,,,,,,,,,,,
スマスロ ハナビ,ACROSS（アクロス）,2026-02-02,スマスロ / A+RT,98.6,100.4,,,103.0,106.4,1/297.9,1/292.6,,,1/284.9,1/273.1,1/394.8,1/358.1,,,1/313.6,1/282.5,設定6完全攻略時機械割108.0%、ボーナス合算確率1/169.8(設定1)〜1/138.8(設定6)、BIG最大239枚・REG最大96枚、BIG後は必ず花火チャレンジ移行、ボーナス合算は設定1=1/172.5/設定2=1/166.3/設定5=1/159.1/設定6=1/149.6、ボーナス合算は設定1=1/169.8/設定2=1/161.0/設定5=1/149.3/設定6=1/138.8,https://1geki.jp/slot/l_hanabi/,selected,1.0,スマスロ ハナビ,1,manual_exact_variant,スマスロ ハナビ,アクロス,スマスロ,A+RT,0,,,,,,,,,,,,,1/172.5,1/166.3,,,1/159.1,1/149.6,,,,,,,,,,,,,,
スマスロ バイオハザード5,Enterrise（エンターライズ）,2025-03-03,スマスロ / AT,97.8,98.8,100.6,104.6,108.9,114.9,,,,,,,,,,,,,AT(ハザードラッシュ/プレミアムハザードラッシュ)機、AT初当り確率は設定1=1/325.8/設定2=1/314.4/設定3=1/298.2/設定4=1/271.4/設定5=1/249.6/設定6=1/236.2、機械割は設定1=97.8%/設定2=98.8%/設定3=100.6%/設定4=104.6%/設定5=108.9%/設定6=114.9%、AT純増約2.5枚(ハザードラッシュ)or4.0枚(プレミアム)/G、天井999G+α、ベース約33.0G,https://1geki.jp/slot/l_biohazard5/,selected,0.85,スマスロ バイオハザード5,1,title_contains,スマスロ バイオハザード5,エンターライズ,スマスロ,AT,0,1/325.8,1/314.4,1/298.2,1/271.4,1/249.6,1/236.2,,,,,,,,,,,,,,,,,,,,,,,,,,
スマスロキングパルサー,SEVEN LEAGUE（セブンリーグ）,2024-03-04,スマスロ / AT,97.7,98.6,,105.5,110.3,114.9,1/257.6,1/251.4,,1/210.0,1/191.8,1/173.6,1/387.8,1/378.4,,1/324.2,1/298.8,1/274.9,疑似ボーナスAT 天井:960G、ボーナス合算は設定1=1/154.8/設定2=1/151.0/設定4=1/127.4/設定5=1/116.8/設定6=1/106.4,https://1geki.jp/slot/l_kingpulsar_slcc/,selected,0.9,スマスロキングパルサー,1,title_contains,スマスロキングパルサー,セブンリーグ,スマスロ,AT,0,,,,,,,,,,,,,1/154.8,1/151.0,,1/127.4,1/116.8,1/106.4,,,,,,,,,,,,,,
スマスロニューパルサーBT,YAMASA（山佐）,2025-06-02,スマスロ / ノーマル / BT,98.7,100.1,,,103.0,106.8,,,,,,,,,,,,,スマスロ/ボーナストリガー機、4段階設定、機械割は設定1=98.7%(完全攻略100.0%)/設定2=100.1%(101.5%)/設定5=103.0%(104.5%)/設定6=106.8%(108.3%)、ボーナス合算確率は設定1=1/183.1〜設定6=1/156.0、全設定BB:RB当選比率1:1(初当り時)、BB獲得枚数309枚以上(平均359枚、BT連荘含む)、RB獲得枚数最大107枚、天井非搭載、ボーナス合算は設定1=1/183.1/設定2=1/173.4/設定5=1/166.3/設定6=1/156.0、完全攻略時出玉率は設定1=100.0%/設定2=101.5%/設定5=104.5%/設定6=108.3%、一撃掲載表にBB/RB個別確率なし,https://1geki.jp/slot/lb_newpulsar/,selected,1.0,スマスロニューパルサーBT,1,manual_alias,ニューパルサーBT,山佐,スマスロ,ノーマル,1,,,,,,,,,,,,,1/183.1,1/173.4,,,1/166.3,1/156.0,,,,,,,100.0,101.5,,,104.5,108.3,,
スマスロ北斗の拳,Sammy（サミー）,2023-04-03,スマスロ / AT,98.0,98.9,,105.7,110.0,113.0,,,,,,,,,,,,,AT初当り:1/382.7〜1/235.4 天井:1268G,https://1geki.jp/slot/s_sma_hokutonoken/,selected,1.0,スマスロ北斗の拳,1,manual_exact_variant,スマスロ北斗の拳,サミー,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマスロ炎炎ノ消防隊,SANKYO（三共）,2024-05-07,スマスロ / AT,97.7,99.2,,104.4,110.1,114.9,,,,,,,,,,,,,初当り:1/282〜1/227 天井:850G,https://1geki.jp/slot/l_ennenn/,selected,1.0,スマスロ炎炎ノ消防隊,1,manual_exact_variant,スマスロ炎炎ノ消防隊,三共,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマスロ炎炎ノ消防隊2,SANKYO（三共）,2026-02-02,スマスロ / AT,97.7,98.8,101.2,105.6,110.2,114.9,,,,,,,,,,,,,設定6:ボーナス初当り1/227・炎炎ループ確率1/486(設定1比約1.2/1.4倍)、ボーナス間天井850G+α(リセット後650G+α)、炎炎ループ間天井2000G+α(リセット後1500G+α)、ボーナス初当りは設定1=1/272/設定2=1/269/設定3=1/257/設定4=1/242/設定5=1/236/設定6=1/227,https://1geki.jp/slot/l_ennenn2/,selected,0.9,スマスロ炎炎ノ消防隊2,1,title_contains,スマスロ炎炎ノ消防隊2,三共,スマスロ,AT,0,,,,,,,1/272,1/269,1/257,1/242,1/236,1/227,,,,,,,,,,,,,,,,,,,,
スマスロ真・北斗無双,Sammy（サミー）,2024-07-08,スマスロ / AT,97.9,98.9,101.8,106.6,110.5,114.9,,,,,,,,,,,,,AT初当り:1/381.1〜1/320.5 天井:1536宿命+α,https://1geki.jp/slot/l_sin_hokutomuso/,selected,1.0,スマスロ真・北斗無双,1,manual_exact_variant,スマスロ真・北斗無双,サミー,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマスロ秘宝伝,パオン・ディーピー,2025-12-22,スマスロ / AT,97.8,99.0,101.5,105.1,110.1,114.7,,,,,,,,,,,,,設定6機械割114.7%(AT純増約5.0枚/G)、高確率初当り設定1=1/181.7、奇偶で偶数設定優遇、通常時799G+α天井(REG後649G+α、設定変更時499G+α),https://1geki.jp/slot/l_hihouden/,selected,1.0,スマスロ秘宝伝,1,manual_exact_variant,スマスロ秘宝伝,パオン・ディーピー,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマート沖スロ スターハナハナ,PIONEER（パイオニア）,2025-01-20,スマスロ / ノーマル,97.0,99.0,101.0,104.0,107.0,110.0,1/270,1/262,1/252,1/240,1/229,1/218,1/387,1/354,1/322,1/293,1/267,1/242,設定6機械割110.0%、ボーナス合算確率1/159〜1/114(シリーズ最当たりやすさ)、BIG最大240枚・REG最大96枚のノーマルタイプ、REG確率に大きな設定差(設定6終日で1/265以下傾向)、ボーナス合算は設定1=1/159/設定2=1/150/設定3=1/141/設定4=1/132/設定5=1/123/設定6=1/114,https://1geki.jp/slot/l_starhnhn30/,selected,0.9,スマート沖スロ スターハナハナ,2,title_contains,スマート沖スロ スターハナハナ,パイオニア,スマスロ,ノーマル,0,,,,,,,,,,,,,1/159,1/150,1/141,1/132,1/123,1/114,,,,,,,,,,,,,,
スマート沖スロ ドラゴンハナハナ～閃光～,PIONEER（パイオニア）,2024-03-18,スマスロ / ノーマル,97.0,99.0,101.0,104.0,107.0,110.0,1/256,1/246,1/236,1/224,1/212,1/199,1/642,1/585,1/537,1/489,1/442,1/399,天井:非搭載(ノーマルタイプ)、ボーナス合算は設定1=1/183/設定2=1/173/設定3=1/163/設定4=1/153/設定5=1/143/設定6=1/133、一撃掲載表にBB/RB個別確率なし,https://1geki.jp/slot/l_drahana_senko/,selected,0.9,スマート沖スロ ドラゴンハナハナ～閃光～,3,title_contains,スマート沖スロ ドラゴンハナハナ～閃光～,パイオニア,スマスロ,ノーマル,0,,,,,,,,,,,,,1/183,1/173,1/163,1/153,1/143,1/133,,,,,,,,,,,,,,
スマート沖スロ ニューキングハナハナV,PIONEER（パイオニア）,2026-01-05,スマスロ / ノーマル / BT,97.0,99.0,101.0,104.0,,,1/299,1/291,1/281,1/268,,,1/496,1/471,1/442,1/409,,,設定6機械割108〜110.2%(資料により幅)、設定6ボーナス合算1/150(BIG1/226.0・REG1/278.9)、BIGボーナストリガー含み約312枚・REG約130枚、6号機ハナハナ史上最高のボーナス獲得枚数、ボーナス合算は設定1=1/186/設定2=1/180/設定3=1/172/設定4=1/162、設定V:BB=1/253/RB=1/372/ボーナス合算=1/150/出玉率=108,https://1geki.jp/slot/l_new_king_hanahana_v/,selected,0.9,スマート沖スロ ニューキングハナハナV,2,title_contains,スマート沖スロ ニューキングハナハナV,パイオニア,スマスロ,ノーマル,1,,,,,,,,,,,,,1/186,1/180,1/172,1/162,,,,,,,,,,,,,,,,
スロドル,コナミアミューズメント,2023-03-20,AT,97.8,98.7,100.6,105.2,107.3,110.2,,,,,,,,,,,,,AT確率:1/356〜1/241 天井:999G,https://1geki.jp/slot/s_slodol/,selected,0.9,スロドル,1,title_contains,スロドル,コナミアミューズメント,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スーパービンゴネオ,BELLCO（ベルコ）,2024-12-16,スマスロ / AT,97.3,98.5,,104.3,108.3,114.9,,,,,,,,,,,,,スマスロ/ATタイプ、AT純増約2.8枚/Gまたは約5.0枚/G、天井は最大999G+α,https://1geki.jp/slot/l_superbingo_neo/,selected,1.0,スーパービンゴネオ,1,manual_verified_distinct_machine,スーパービンゴネオ,ベルコ,スマスロ,AT,0,1/449.2,1/440.4,,1/405.5,1/387.2,1/365.3,,,,,,,,,,,,,,,,,,,,,,,,,スーパービンゴネオ（スマスロ）解析攻略,2026-08-30
スーパービンゴネオクラシック,ベルコ,2023-08-07,AT,97.6,98.6,100.6,103.1,105.1,106.0,,,,,,,,,,,,,AT確率:1/334〜1/276 天井:999G,https://1geki.jp/slot/s_sbingo_nc_30/,selected,0.9,スーパービンゴネオクラシック,2,title_contains,スーパービンゴネオクラシック,ベルコ,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スーパーブラックジャック,SEVEN LEAGUE（セブンリーグ）,2025-02-03,スマスロ / AT,97.8,98.7,100.1,105.7,110.0,112.7,,,,,,,,,,,,,ATタイプ/スマスロ/天井/萌えスロ、AT純増約0.4枚or約5.1枚/G、機械割は設定1=97.8%/設定2=98.7%/設定3=100.1%/設定4=105.7%/設定5=110.0%/設定6=112.7%、ボーナス初当り確率は設定1=1/241.7/設定2=1/238.8/設定3=1/235.9/設定4=1/201.8/設定5=1/194.9/設定6=1/181.3、リオチャンス高確率は設定1=1/417.6〜設定6=1/312.1、「リオチャンス」「ボーナス」「ストックタイム[ST]」がループし上位「スーパーストックタイム[SST]」へ、ジョーカーモード搭載,https://1geki.jp/slot/l_sbj/,selected,0.9,スーパーブラックジャック,1,title_contains,スーパーブラックジャック,セブンリーグ,スマスロ,AT,0,,,,,,,1/241.7,1/238.8,1/235.9,1/201.8,1/194.9,1/181.3,,,,,,,,,,,,,,,,,,,,
スーパーリオエース,山佐,2022-09-05,AT,97.9,98.8,100.5,104.4,107.2,109.8,,,,,,,,,,,,,AT確率:1/600〜1/427 天井:700G+α,https://1geki.jp/slot/s_sp_rioace/,selected,0.9,スーパーリオエース,2,title_contains,スーパーリオエース,山佐,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スーパーリオエース2,YAMASA NEXT（山佐ネクスト）,2026-05-11,スマスロ / AT,97.7,98.7,100.5,105.1,109.1,112.1,,,,,,,,,,,,,機械割97.7%(設定1)〜112.1%(設定6)、初当り確率1/289.8(設定1)〜1/219.2(設定6)、ボーナス直撃確率(ノワールルーム非経由)に非常に大きな設定差、ノワールルーム(平均約16G)成功期待度約40%,https://1geki.jp/slot/l_sp_rioace2/,selected,0.9,スーパーリオエース2,1,title_contains,スーパーリオエース2,山佐ネクスト,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スーパー海物語 IN JAPAN祭,三洋,2022-05-09,AT,97.6,98.6,100.4,104.3,107.2,110.1,,,,,,,,,,,,,AT確率:1/355〜1/258 天井:599G,https://1geki.jp/slot/s_sumi_ij_matsuri/,selected,0.9,スーパー海物語 IN JAPAN祭,1,title_contains,スーパー海物語 IN JAPAN祭,三洋,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソードアート・オンライン,Daito（大都技研）,2023-05-15,スマスロ / AT,97.8,98.8,101.0,106.3,110.0,114.9,,,,,,,,,,,,,AT確率:1/356〜1/245 天井:999G、ボーナス初当りは設定1=1/356.2/設定2=1/343.3/設定3=1/321.1/設定4=1/266.1/設定5=1/236.3/設定6=1/207.7,https://1geki.jp/slot/l_sao/,selected,1.0,ソードアート・オンライン,1,manual_exact_variant,ソードアート・オンライン,大都技研,スマスロ,AT,0,,,,,,,1/356.2,1/343.3,1/321.1,1/266.1,1/236.3,1/207.7,,,,,,,,,,,,,,,,,,,,
ゾンビランドサガ,Daito（大都技研）,2024-07-22,スマスロ / AT,97.9,98.6,100.5,105.1,108.1,111.2,,,,,,,,,,,,,AT確率:1/280〜1/220 天井:999G,https://1geki.jp/slot/l_zombielandsaga/,selected,0.9,ゾンビランドサガ,1,title_contains,ゾンビランドサガ,大都技研,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タクトオーパス デスティニー,AMTEX（アムテックス）,2026-05-11,スマスロ / AT,97.6,98.2,100.3,104.7,108.7,113.5,,,,,,,,,,,,,機械割設定1=97.6%・設定6=113.5%、デスティニーボーナス確率は全設定共通1/770(設定差なし)、AT初当り1/358.5(設定1)〜1/297.4(設定6、約1.2倍差)、AT直撃(CZ→AT昇格)率は設定1=1.4%・設定6=8.9%(約6.4倍差),https://1geki.jp/slot/l_takt_op_destiny/,selected,0.85,タクトオーパス デスティニー,1,title_contains,タクトオーパス デスティニー,アムテックス,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダンジョンに出会いを求めるのは間違っているだろうか2,北電子,2024-04-22,A+ART,98.3,99.6,100.9,104.8,106.8,108.9,1/255.0,1/245.4,1/236.6,1/219.9,1/208.7,1/198.6,,,,,,,ボーナス確率のみ 天井:555G+α,https://1geki.jp/slot/s_danmachi2/,selected,0.85,ダンジョンに出会いを求めるのは間違っているだろうか2,1,title_contains,ダンジョンに出会いを求めるのは間違っているだろうか2,北電子,メダル,A+ART,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダンベル何キロ持てる？,SANKYO,2024-02-05,スマスロ / AT,97.5,98.8,100.4,104.9,108.5,114.9,,,,,,,,,,,,,AT初当り:1/350〜1/256 天井:1000G,https://1geki.jp/slot/l_dumbbell/,selected,0.9,ダンベル何キロ持てる？,1,title_contains,ダンベル何キロ持てる？,SANKYO,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダーリン・イン・ザ・フランキス,Spiky（スパイキー）,2025-08-04,スマスロ / AT,97.8,98.9,100.6,105.4,110.5,114.5,,,,,,,,,,,,,設定6機械割114.5%、設定6ボーナス確率1/192(設定1は1/229)、コネクトチャンス当選率設定6=1/119(設定1=1/127)、ダーリン・イン・ザ・ボーナス終了後ボーナス高確突入、ボーナス初当りは設定1=1/229.8/設定2=1/224.1/設定3=1/214.9/設定4=1/207.3/設定5=1/190.3/設定6=1/180.3,https://1geki.jp/slot/l_darlifra/,selected,0.9,ダーリン・イン・ザ・フランキス,1,title_contains,ダーリン・イン・ザ・フランキス,スパイキー,スマスロ,AT,0,,,,,,,1/229.8,1/224.1,1/214.9,1/207.3,1/190.3,1/180.3,,,,,,,,,,,,,,,,,,,,
チバリヨ2,NET（ネット）,2024-03-04,スマスロ / AT,97.3,99.3,,104.7,109.6,114.9,,,,,,,,,,,,,設定3非搭載 天井:999G+α、ボーナス初当りは設定1=1/328/設定2=1/314/設定4=1/281/設定5=1/263/設定6=1/225,https://1geki.jp/slot/l_chibariyo2/,selected,1.0,チバリヨ2,1,manual_exact_variant,チバリヨ2,ネット,スマスロ,AT,0,,,,,,,1/328,1/314,,1/281,1/263,1/225,,,,,,,,,,,,,,,,,,,,
チバリヨ2プラス,NET（ネット）,2025-01-06,スマスロ / AT,97.6,99.6,,104.7,109.7,114.9,,,,,,,,,,,,,設定3非搭載 天井:999G+α、ボーナス初当りは設定1=1/328/設定2=1/313/設定4=1/280/設定5=1/251/設定6=1/224,https://1geki.jp/slot/l_cbry2_plus/,selected,0.9,チバリヨ2プラス,1,title_contains,チバリヨ2プラス,ネット,スマスロ,AT,0,,,,,,,1/328,1/313,,1/280,1/251,1/224,,,,,,,,,,,,,,,,,,,,
ディスクアップ ULTRAREMIX,Sammy（サミー）,2025-01-20,スマスロ / A+AT,99.3,100.2,,,103.6,107.7,1/287.2,1/284.3,,,1/273.8,1/260.9,1/495.3,1/477.2,,,1/398.6,1/334.1,A+ATタイプ/スマスロ、機械割(完全攻略)は設定1=99.3%(103.0%)/設定2=100.2%(103.8%)/設定5=103.6%(107.2%)/設定6=107.7%(111.5%)(設定3・4未掲載)、BB:RB確率(合算)は設定1=1/287.2:1/495.3(合算1/181.8)、設定2=1/284.3:1/477.2(合算1/178.2)、設定5=1/273.8:1/398.6(合算1/162.3)、設定6=1/260.9:1/334.1(合算1/146.5)、ボーナス当選の約80%がリーチ目、ボーナス純増約6.5枚/G、AT純増約0.5枚or1.5枚/G、天井非搭載、ベース約32.2G(設定1)、ボーナス合算は設定1=1/181.8/設定2=1/178.2/設定5=1/162.3/設定6=1/146.5,https://1geki.jp/slot/l_discup_ur/,selected,0.85,ディスクアップ ULTRAREMIX,1,title_contains,ディスクアップ ULTRAREMIX,サミー,スマスロ,A+AT,0,,,,,,,,,,,,,1/181.8,1/178.2,,,1/162.3,1/146.5,,,,,,,,,,,,,,
ディスクアップ2,サミー,2022-01-24,A+AT,99.4,101.2,,,104.3,108.6,1/287.4,1/284.9,,,1/280.1,1/275.4,1/397.2,1/385.5,,,1/364.1,1/352.3,"設定1,2,5,6 完全攻略時103% 天井なし",https://1geki.jp/slot/s_discup2/,selected,0.9,ディスクアップ2,1,title_contains,ディスクアップ2,サミー,メダル,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
デビル メイ クライ 5,エンターライズ,2022-03-07,AT,97.9,98.8,100.4,104.2,107.6,110.1,,,,,,,,,,,,,AT確率:1/363〜1/283 天井:800G,https://1geki.jp/slot/s_devilmaycry5/,selected,0.9,デビル メイ クライ 5,2,title_contains,デビル メイ クライ 5,エンターライズ,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
デビル メイ クライ5 スタイリッシュトライブ,Adelion（アデリオン）,2025-06-02,スマスロ / AT,97.5,98.2,100.2,105.2,109.2,114.9,,,,,,,,,,,,,ST初当り(設定6)1/303.9、ボーナス初当り(設定6)1/204.1、天井1000G+α(条件により800G+α)、上位STは平均400枚ボーナスが約89%でループ、ボーナス初当りは設定1=1/257.0/設定2=1/254.1/設定3=1/251.5/設定4=1/222.6/設定5=1/217.3/設定6=1/204.1,https://1geki.jp/slot/l_dmc5_st/,selected,0.85,デビル メイ クライ5 スタイリッシュトライブ,1,title_contains,デビル メイ クライ5 スタイリッシュトライブ,アデリオン,スマスロ,AT,0,,,,,,,1/257.0,1/254.1,1/251.5,1/222.6,1/217.3,1/204.1,,,,,,,,,,,,,,,,,,,,
