machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes
七つの魔剣が支配する,コナミアミューズメント,2025-01-20,スマスロ,,,,,108.5,111.0,,,,,,,,,,,,,設定6機械割111.0%(設定5=108.5%)、ボーナス初当り設定1=1/228.0・設定6=1/164.7、天井1000G、ST「Seven Spellblades Battle」22G継続・平均継続率約77%
不二子BT,AMTEX（アムテックス）,2025-12-22,スマスロ,100.2,102.4,,106.2,109.0,111.2,,,,,,,,,,,,,スマスロ/ボーナストリガー機、機械割(下限〜完全攻略)は設定1=97.6%〜100.2%/設定2=99.4%〜102.4%/設定4=102.9%〜106.2%/設定5=105.4%〜109.0%/設定6=107.4%〜111.2%(設定3未掲載)、BIG(SBB+BB合算):REG確率は設定1=1/252.1:1/321.3(合算1/141.2)、設定2=1/239.2:1/304.8(合算1/134.0)、設定4=1/219.2:1/278.9(合算1/122.7)、設定5=1/205.4:1/252.1(合算1/113.2)、設定6=1/172.5:1/227.6(合算1/98.1)、SUPER BIG成立でBT「不二子TIME」(約1/16でボーナス当選)
主役は銭形4,オリンピア,2023-05-08,スマスロ,97.7,98.7,100.5,105.1,109.1,114.9,,,,,,,,,,,,,AT初当り:1/365〜1/278 天井:1399ガッツ
主役は銭形5,オリンピア,2025-10-06,スマスロ,,,,,,112.1,,,,,,,,,,,,,疑似ボーナス×ST型AT機、設定6機械割112.1%・AT初当り1/300.5、天井1250G+α(リセット後850G)、初当り「銭形BONUS」(基本100枚)後10G+α高確率ST「ビッグタイム」突入
乃木坂46,京楽,2023-08-07,スマスロ,97.5,98.6,100.5,105.5,108.5,112.5,,,,,,,,,,,,,AT初当り:1/361〜1/240 天井:999G
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,サミー,2023-11-06,A+ART,97.7,98.7,100.5,104.4,106.3,108.1,1/277.7,1/275.4,1/273.1,1/268.6,1/264.3,1/258.0,1/414.8,1/409.6,1/399.6,1/385.5,1/372.4,1/352.3,天井:非搭載
交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,サミー,2019-12-09,AT,97.8,98.9,100.5,104.3,107.4,111.2,,,,,,,,,,,,,ボーナス合算:1/276〜1/198 天井:707G
交響詩篇エウレカセブン4 HI-EVOLUTION,サミー,2024-05-07,スマスロ,97.7,98.7,100.6,105.4,108.6,113.1,,,,,,,,,,,,,AT初当り:1/381〜1/298 天井:1550WAVE
今日から俺は!! パチスロ編,コナミアミューズメント,2024-10-07,スマスロ,97.9,99.0,100.5,104.1,108.0,113.0,,,,,,,,,,,,,ボーナス合算:1/216.1〜1/165.8 天井:最大1280G+α
仮面ライダー電王,京楽,2024-09-02,スマスロ,97.6,98.7,100.5,105.1,108.2,114.9,,,,,,,,,,,,,AT確率:1/391〜1/294 天井:999G
冴えない彼女の育てかた,サミー,2024-02-05,スマスロ,97.7,98.8,100.6,105.2,108.3,111.4,,,,,,,,,,,,,ボーナス確率:1/185〜1/154 天井:999G
劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,メーシー,2021-08-02,AT,97.3,98.5,100.1,104.4,106.7,110.0,,,,,,,,,,,,,AT確率:1/269〜1/188 天井:700G
劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,メーシー,,AT,,,,,,,,,,,,,,,,,,,5号機データ割愛
化物語,サミー,,AT,,,,,,,,,,,,,,,,,,,5号機データ割愛
北斗の拳 宿命,サミー,2021-03-08,AT,97.8,98.8,100.4,104.3,107.1,111.1,,,,,,,,,,,,,AT初当り:1/340〜1/194 天井:800G
北斗の拳 転生の章2,サミー,2025-06-02,スマスロ,97.6,98.4,100.7,106.2,111.1,114.9,,,,,,,,,,,,,AT初当り(あべし):1/366.0〜1/273.1 天井:最大1536あべし(設定変更後1280あべし)
十字架5,ネット,2022-04-18,AT,97.6,98.6,100.5,104.3,106.2,108.1,,,,,,,,,,,,,AT確率:1/421〜1/294 天井:1000G
南国育ち,平和,2021-01-12,AT,97.6,98.8,100.5,105.1,108.2,110.1,,,,,,,,,,,,,ボーナス初当り:1/354〜1/298 天井:996G
吉宗,大都技研,,Aタイプ,,,,,,,,,,,,,,,,,,,4号機データ割愛
吉宗(スマスロ),sabohani（サボハニ）,2026-04-06,スマスロ,97.8,99.1,100.6,104.1,107.1,112.0,,,,,,,,,,,,,ATタイプ/スマスロ/天井(最大999G+α)、AT純増約7.11枚/G、ベース(50枚あたり)約33G、機械割は設定1=97.8%/設定2=99.1%/設定3=100.6%/設定4=104.1%/設定5=107.1%/設定6=112.0%、AT初当り確率は設定1=1/378.9/設定2=1/369.6/設定3=1/358.8/設定4=1/335.1/設定5=1/318.5/設定6=1/292.4、4号機を代表する名機「初代吉宗」のゲーム性を踏襲、BIG BONUSは獲得枚数711枚、BB1G連2回で最強上位モード「裏鷹狩り」へ
吉宗RISING,大都技研,2024-01-09,スマスロ,97.6,98.7,100.5,105.5,108.6,111.2,,,,,,,,,,,,,AT初当り:1/268〜1/214 天井:1200G
咲‐Saki‐ 頂上決戦,SANYO（三洋物産）,2025-08-04,スマスロ,97.6,98.7,100.6,104.1,109.0,114.9,,,,,,,,,,,,,ATタイプ/スマスロ/天井(周期天井:南4局(8周期))、機械割は設定1=97.6%/設定2=98.7%/設定3=100.6%/設定4=104.1%/設定5=109.0%/設定6=114.9%、CZ初当り確率は設定1=1/184.0/設定2=1/181.7/設定3=1/176.5/設定4=1/168.5/設定5=1/158.5/設定6=1/154.2、AT初当り確率は設定1=1/398.4/設定2=1/386.4/設定3=1/365.5/設定4=1/336.3/設定5=1/304.2/設定6=1/284.0、AT「頂上決戦」、CZ内「麻雀激闘」、特打ポイント蓄積でCZ抽選
回胴黙示録カイジ 狂宴,サミー,2025-03-03,スマスロ,97.8,,,,,111.2,,,,,,,,,,,,,設定6機械割111.2%・AT初当り1/290.6(設定1は1/384.9)、設定6勝率約80%、設定2-3間/3-4間で機械割の段差大、特化ゾーン「トネガワRUSH」「ハンチョウRUSH」、ループ性能「至福のクルーンジャッジ」
回胴黙示録カイジ 狂宴(スマスロ),サミー,2025-03-03,スマスロ,97.8,,,,,111.2,,,,,,,,,,,,,設定6機械割111.2%・AT初当り1/290.6(設定1は1/384.9)、設定6勝率約80%、設定2-3間/3-4間で機械割の段差大、特化ゾーン「トネガワRUSH」「ハンチョウRUSH」、ループ性能「至福のクルーンジャッジ」
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,オーイズミ,2025-03-03,スマスロ,104.6,,,,,110.0,,,,,,,,,,,,,"業界初「A+貫通型AT」搭載、機械割設定4=104.6%・設定6=110.0%、1日のマイナス幅が19,000枚到達でコンプリート機能発動(設定変更で解除)、ボーナス・CZ確率等の詳細な設定差データは検索で未確認"
少女☆歌劇 レヴュースタァライト ‐The SLOT‐(スマスロ),オーイズミ,2025-03-03,スマスロ,104.6,,,,,110.0,,,,,,,,,,,,,"業界初「A+貫通型AT」搭載、機械割設定4=104.6%・設定6=110.0%、1日のマイナス幅が19,000枚到達でコンプリート機能発動(設定変更で解除)、ボーナス・CZ確率等の詳細な設定差データは検索で未確認"
少女☆歌劇レヴュースタァライト,オーイズミ,2025-03-03,スマスロ,104.6,,,,,110.0,,,,,,,,,,,,,"業界初「A+貫通型AT」搭載、機械割設定4=104.6%・設定6=110.0%、1日のマイナス幅が19,000枚到達でコンプリート機能発動(設定変更で解除)、ボーナス・CZ確率等の詳細な設定差データは検索で未確認"
幼女戦記,サミー,2022-12-05,AT,97.8,98.8,100.5,105.1,107.5,110.5,,,,,,,,,,,,,ボーナス初当り:1/241〜1/170 天井:512G
忍魂参 ～奥義皆伝ノ章～,大都技研,2024-03-18,スマスロ,97.6,98.7,100.6,105.5,108.5,112.0,,,,,,,,,,,,,AT初当り:1/369〜1/280 天井:979G
戦国†恋姫,藤商事,2023-07-18,A+AT,98.0,99.1,100.8,104.5,106.2,108.1,,,,,,,,,,,,,ボーナス合算:1/161〜1/122 天井:900G
戦国乙女4 戦乱に閃く炯眼の軍師,オリンピア,2023-09-04,スマスロ,97.6,98.6,100.5,105.5,109.1,113.0,,,,,,,,,,,,,AT初当り:1/272〜1/217 天井:799G
戦姫絶唱シンフォギア 勇気の歌,SANKYO,2021-12-20,AT,97.5,98.7,100.6,104.5,107.2,108.6,,,,,,,,,,,,,AT初当り:1/425〜1/280 天井:800G
戦姫絶唱シンフォギア 正義の歌,SANKYO,2024-07-08,スマスロ,97.7,98.8,100.5,105.5,110.0,114.9,,,,,,,,,,,,,AT初当り:1/295〜1/233 天井:777G
押忍!番長ZERO,大都技研,2022-01-31,AT,97.6,98.8,100.7,105.3,108.5,113.0,,,,,,,,,,,,,初当り:1/246〜1/181 天井:600G
押忍！番長4,大都技研,2024-04-22,スマスロ,97.6,98.7,100.5,105.5,109.0,113.1,,,,,,,,,,,,,ボーナス確率:1/259〜1/221 天井:699G
攻殻機動隊,サミー,2025-12-22,スマスロ,,,,,,112.2,,,,,,,,,,,,,AT初当り1/336.3(設定1)〜1/278.0(設定6)、設定6機械割112.2%、AT「S.A.C.MODE」初期差枚200枚管理・純増約4.0枚/G
政宗 戦極,大都技研,2022-08-08,AT,97.6,98.6,100.5,104.5,106.5,107.5,,,,,,,,,,,,,CZ確率:1/141〜1/119 天井:500G
新ハナビ,アクロス,2021-07-05,ノーマル,97.7,99.3,,,104.4,109.0,1/277.7,1/268.6,,,1/256.0,1/240.9,1/356.2,1/334.4,,,1/292.6,1/260.1,"設定1,2,5,6 天井なし"
新・必殺仕置人 回胴 CRASH SPEC,京楽,2023-11-06,スマスロ,97.6,98.8,100.5,105.5,108.5,111.4,,,,,,,,,,,,,AT初当り:1/399〜1/299 天井:999G
新鬼武者2,エンターライズ,2022-08-08,AT,97.8,98.9,100.5,105.4,108.1,110.1,,,,,,,,,,,,,AT初当り:1/404〜1/299 天井:1000G
新鬼武者3,レオスター,2025-10-06,スマスロ,97.5,98.3,100.2,105.2,109.2,113.0,,,,,,,,,,,,,"ATタイプ/スマスロ/天井、AT純増約2.5枚or約5.5枚/G、ベース約33G、導入台数約15,000台、機械割は設定1=97.5%/設定2=98.3%/設定3=100.2%/設定4=105.2%/設定5=109.2%/設定6=113.0%、AT初当り確率は設定1=1/379.7/設定2=1/372.7/設定3=1/352.8/設定4=1/306.5/設定5=1/297.9/設定6=1/293.1、上位AT「青剣RUSH」継続率89%・約5.5枚/G、新要素「鬼BATTLE」「鬼斬乱舞」"
東京リベンジャーズ,サミー,2025-09-08,スマスロ,97.8,,,,,114.9,,,,,,,,,,,,,AT「東卍RUSH」純増約8.0枚・継続率約80%、天井1周期最大500pt・最大6周期、設定変更後天井900G
東京喰種,スパイキー,2025-02-03,スマスロ,97.5,,,,,114.9,,,,,,,,,,,,,L東京喰種(TG) AT初当り:1/394.4〜1/261.3 / AT「咬」差枚管理型 / 1日19000枚到達で打ち止め
桃太郎電鉄 ～パチスロも定番!～,コナミ,,スマスロ,97.9,,,,,111.2,,,,,,,,,,,,,機械割97.9%〜111.2%、差枚数管理型AT(初期150枚・1Gあたり純増約2.5枚)、レア小役成立で高確移行・差枚数上乗せ・特化ゾーン「サイコロゾーン」抽選。旧4号機版(機械割設定1=約96.7%・設定6=約115.0%、ボーナス合算1/167.6〜1/117.4)とは別物
機動戦士ガンダムSEED,SANKYO,2025-05-07,スマスロ,,,,105.4,,114.9,,,,,,,,,,,,,AT初当り1/460.1(設定1)〜1/318.4(設定6)、機械割設定4=105.4%・設定6=114.9%、AT間天井1280G+α(リセット時750G+α)、CZ間777G天井
機動戦士ガンダムユニコーン 覚醒DRIVE,Bisty（ビスティ）,2026-04-20,スマスロ,97.7,98.9,101.0,105.4,110.5,114.9,,,,,,,,,,,,,ATタイプ/スマスロ、機械割は設定1=97.7%/設定2=98.9%/設定3=101.0%/設定4=105.4%/設定5=110.5%/設定6=114.9%、CZ確率は設定1=1/298.5〜設定6=1/239.8、AT初当り確率は設定1=1/471.9〜設定6=1/392.3、「覚醒DRIVE」(最強特化ゾーン、1000枚上乗せ約50%ループ、期待獲得約3600枚)、上位AT「可能性の獣」→2BNS到達で「覚醒HYPER」→4BNSで「覚醒HYPER -Over The Rainbow-」
武装神姫,コナミアミューズメント,2023-09-19,AT,97.5,98.6,100.6,105.2,107.5,110.1,,,,,,,,,,,,,AT初当り:1/292〜1/200 天井:999G
沖ドキ!BLACK,ミズホ,2024-07-01,スマスロ,97.2,98.5,100.5,103.4,105.5,108.1,,,,,,,,,,,,,初当り合算:1/288〜1/248 天井:999G
沖ドキ!DUO アンコール,ミズホ,2025-12-22,AT,,,,,,110.0,,,,,,,,,,,,,A+疑似ボーナスAT機、設定1初当り1/240.0(シリーズ最高水準)、設定6初当り1/200近辺、BIG約204枚・REG約84枚、設定6天国移行率約89.6%(2スルー以内、設定5約77.4%/設定4約74.7%)
沖ドキ!GOLD,ミズホ,2022-12-19,AT,97.2,98.5,100.5,103.4,105.5,108.1,,,,,,,,,,,,,ボーナス合算:1/299〜1/237 天井:999G
沖ドキ!GOLD‐30,ミズホ,2022-12-19,AT,97.2,98.5,100.5,103.4,105.5,108.1,,,,,,,,,,,,,ボーナス合算:1/299〜1/237 天井:999G
沖ドキ!ゴージャス 25Φ,MIZUHO（ミズホ）,2024-12-02,A+ART,97.2,98.7,101.9,,104.9,109.0,,,,,,,,,,,,,A+ARTタイプ/6.5号機、機械割は設定1=97.2%/設定2=98.7%/設定3=101.9%/設定5=104.9%/設定6=109.0%(設定4未掲載)、ボーナス初当り確率は設定1=1/288.7/設定2=1/278.4/設定3=1/267.2/設定5=1/256.5/設定6=1/246.4、ベース約32G、チェリーB・確定役による設定差
沖ドキ!ゴージャス 30Φ,エレコ,2024-12-02,スマスロ,,,,,,109.0,,,,,,,,,,,,,設定6機械割109.0%・初当り1/246.4(30Φはエレコ製、25Φがミズホ製)、新規則6.6号機(有利区間6000G)
炎炎ノ消防隊,SANKYO,2023-05-08,AT,97.3,98.5,100.5,105.1,108.2,110.0,,,,,,,,,,,,,初当り合算:1/243〜1/208 天井:850G
無職転生 ～異世界行ったら本気だす～,NEWGIN,2025-12-25,スマスロ,,,,105.4,,113.7,,,,,,,,,,,,,機械割設定4=105.4%・設定6=113.7%、設定6AT初当り約1/292(高設定でも比較的重め)、新筐体MIRAI-H(レバーレス・MAXBET始動)、AT「異世界本気だす」
物語シリーズ セカンドシーズン,サミー,2020-03-16,AT,97.7,98.7,100.5,104.4,108.2,112.8,,,,,,,,,,,,,AT初当り:1/260〜1/170 天井:500G
犬夜叉,クロスアルファ,2022-07-04,AT,97.8,98.8,100.5,105.4,108.1,112.2,,,,,,,,,,,,,AT初当り:1/450〜1/276 天井:3000G(有利区間)
犬夜叉2,クロスアルファ,2024-12-02,スマスロ,97.6,,,,,114.9,,,,,,,,,,,,,機械割97.6%〜114.9%(設定4=106.4%)、AT初当り確率1/435.4(設定1)〜1/312.7(設定6)、同色ベル2連時(約40%)・レア役(50%以上)でボーナス当選、設定1-6間の差が最も大きいのは強チェリー確率
甲鉄城のカバネリ,サミー,2022-07-04,AT,97.7,98.8,100.5,105.9,108.4,110.0,,,,,,,,,,,,,ST初当り:1/407〜1/290 天井:1000G
甲鉄城のカバネリ 海門(うなと)決戦,サミー,2026-03-02,スマスロ,,,,,,114.9,,,,,,,,,,,,,設定6機械割114.9%、AT初当り1/195.1、ST「カバネリオブジアイアンフォートレス」確率1/318.5・25G+α継続・約76%ループ、初当り純増約6.0枚/G・50%でST直結、終日(9100G)期待収支+4068枚/+81361円
痛いのは嫌なので防御力に極振りしたいと思います。,サミー,2024-06-03,スマスロ,97.9,98.8,100.5,105.9,109.5,113.0,,,,,,,,,,,,,ボーナス合算:1/319〜1/229 天井:950G+α
盾の勇者の成り上がり,サミー,2023-02-20,AT,97.5,98.6,100.5,105.2,108.1,110.1,,,,,,,,,,,,,AT初当り:1/298〜1/190 天井:1173G
真・一騎当千,ダイイチ,2025-04,スマスロ,,,,,109.5,112.0,,,,,,,,,,,,,A+AT型ST性能、機械割設定5=109.5%・設定6=112.0%、AT初当り設定1=約1/321、設定6初当り約1/105.3(他設定比で著しく軽い)、設定変更後天井最大400G
真俺の空,スパイキー,2022-12-19,AT,97.6,98.8,100.6,104.5,107.2,110.1,,,,,,,,,,,,,AT初当り:1/299〜1/210 天井:999G
真打 吉宗,大都技研,2025-12,スマスロ,97.8,98.6,101.0,104.5,108.0,114.0,,,,,,,,,,,,,ATタイプ/スマスロ/天井、型式名=L／真打吉宗／A1、検定番号=530504、機械割は設定1=97.8%/設定2=98.6%/設定3=101.0%/設定4=104.5%/設定5=108.0%/設定6=114.0%、CZ確率は設定1=1/313.0〜設定6=1/250.6、AT初当り確率は設定1=1/488.9〜設定6=1/354.9、通常時は周期抽選＋ベル10回毎の「抜刀チャンス」抽選を経てCZ「悪人成敗チャンス」からAT、AT「勧善懲悪ラッシュ」純増約2.7枚/G差枚数管理型
笑ゥせぇるすまん4,三洋,2022-10-03,AT,97.7,98.7,100.5,104.4,107.1,110.0,,,,,,,,,,,,,AT確率:1/353〜1/247 天井:580G
範馬刃牙,オリンピア,2022-11-21,スマスロ,97.5,98.7,100.5,104.4,108.1,110.5,,,,,,,,,,,,,AT初当り:1/336〜1/252 天井:600G
絶対衝激III,スパイキー,2021-03-22,AT,97.4,98.7,100.5,103.5,106.1,108.5,,,,,,,,,,,,,AT初当り:1/240〜1/169 天井:508G
絶対衝激IV,スパイキー,2025-11-04,スマスロ,97.2,98.6,100.6,105.8,109.0,112.5,,,,,,,,,,,,,機械割:設定1=97.2%/設定2=98.6%/設定3=100.6%/設定4=105.8%/設定5=109.0%/設定6=112.5%、ボーナス確率:設定1=1/270/設定2=1/261/設定3=1/254/設定4=1/241/設定5=1/231/設定6=1/225、AT確率:設定1=1/543/設定2=1/501/設定3=1/450/設定4=1/357/設定5=1/304/設定6=1/266、設定が上がるほどボーナス・AT確率・機械割すべてが向上する明確な設定差あり、CZ「昇激チャンス」成功期待度約76%(消化中は小役成立で必ず継続)
絶対衝激～PLATONIC HEART～,アリストクラート,,ART,,,,,,,,,,,,,,,,,,,5号機データ割愛
緋弾のアリアII,藤商事,2023-02-06,AT,97.5,98.7,100.6,104.5,107.1,110.1,,,,,,,,,,,,,AT初当り:1/374〜1/241 天井:10周期
緑ドン VIVA!情熱南米編 REVIVAL,エレコ,,ART,,,,,,,,,,,,,,,,,,,5号機データ割愛
織田信奈の野望 全国版,新明解,2023-07-18,AT,97.6,98.6,100.5,105.5,107.8,110.2,,,,,,,,,,,,,AT初当り:1/280〜1/192 天井:999G
翔べ!ハーレムエース,ネット,2025-06-02,スマスロ,98.1,,,,,112.4,,,,,,,,,,,,,完全攻略時機械割設定1=98.1%・設定6=112.4%、BT契機の「ハーレムボーナス」当選率自体に設定差なし、強チェリー・斜めスイカ成立時のボーナス同時当選期待度やBT中ハーレムボーナス(ピンク7揃い)に設定差
翔べ!ハーレムエース(スマスロ),net,2025-06-02,スマスロ,98.1,,,,,112.4,,,,,,,,,,,,,完全攻略時機械割設定1=98.1%・設定6=112.4%、BT契機の「ハーレムボーナス」当選率自体に設定差なし、強チェリー・斜めスイカ成立時のボーナス同時当選期待度やBT中ハーレムボーナス(ピンク7揃い)に設定差
翔べ！ハーレムエース,net,2025-06-02,スマスロ,98.1,,,,,112.4,,,,,,,,,,,,,完全攻略時機械割設定1=98.1%・設定6=112.4%、BT契機の「ハーレムボーナス」当選率自体に設定差なし、強チェリー・斜めスイカ成立時のボーナス同時当選期待度やBT中ハーレムボーナス(ピンク7揃い)に設定差
聖戦士ダンバイン,サミー,2024-12-02,スマスロ,97.9,,,,,114.4,,,,,,,,,,,,,機械割設定1=97.9%〜設定6=114.4%、初当り確率設定1=1/355.8〜設定6=1/307.7、上位AT「ビルバインRUSH」継続率約94%
聖闘士星矢 海皇覚醒 CUSTOM EDITION,SANYO,2024-06-03,スマスロ,97.5,98.6,100.4,105.4,108.5,114.9,,,,,,,,,,,,,AT確率:1/360〜1/318 天井:999G
花の慶次～佐渡攻めの章～,EXCITE,2023-12-04,スマスロ,97.6,98.8,100.6,105.5,108.2,112.1,,,,,,,,,,,,,AT確率:1/359〜1/263 天井:1000G
花火絶景,ミズホ,2022-11-07,AT,97.6,98.6,100.5,103.4,105.1,107.1,,,,,,,,,,,,,ボーナス合算:1/237〜1/181 天井:950G
花笠,NET（ネット）,2025-05-19,スマスロ,97.3,98.7,,104.1,110.2,114.9,,,,,,,,,,,,,機械割は設定1=97.3%/設定2=98.7%/設定4=104.1%/設定5=110.2%/設定6=114.9%(設定3は未掲載)、初当り確率は設定1=1/194/設定2=1/186/設定4=1/171/設定5=1/162/設定6=1/152、BB:RB確率(合算)は設定1=1/137:1/219(合算1/84)、設定2=1/131:1/212(合算1/81)、設定4=1/116:1/195(合算1/73)、設定5=1/102:1/190(合算1/66)、設定6=1/91:1/202(合算1/63)、高設定で天国モード突入率約1時間に1回程度、BIG BONUS(ベルナビ30回・約217枚)とREG BONUS(ベルナビ15回・約108枚)の2種、通常モード5種・天国モード5種、AT純増約3.2枚/G、天井499G+α
荒野のコトブキ飛行隊,ユニバーサル,2025-10-20,スマスロ,,,,,,110.8,,,,,,,,,,,,,機械割:設定2=97.4%・設定3=98.8%・設定4=102.5%・設定5=106.2%・設定6=110.8%、CZ確率1/414.9(設定2)〜1/318.9(設定6)、ボーナス種は「ビッグボーナス」「激闘RUSH」「コトブキATTACK」、ビッグボーナス約150枚+α(純増約7.0枚)、コトブキBURSTでボーナス枚数300→2400枚まで倍増
荒野のコトブキ飛行隊(スマスロ),ユニバーサル,2025-10-20,スマスロ,,,,,,110.8,,,,,,,,,,,,,機械割:設定2=97.4%・設定3=98.8%・設定4=102.5%・設定5=106.2%・設定6=110.8%、CZ確率1/414.9(設定2)〜1/318.9(設定6)、ボーナス種は「ビッグボーナス」「激闘RUSH」「コトブキATTACK」、ビッグボーナス約150枚+α(純増約7.0枚)、コトブキBURSTでボーナス枚数300→2400枚まで倍増
蒼穹のファフナー EXODUS,SANKYO,2019-10-21,AT,97.6,98.9,100.5,104.3,106.8,109.1,,,,,,,,,,,,,AT初当り:1/319〜1/214 天井:555G
虚構推理,ディーライト,2026-04-06,スマスロ,97.7,98.7,100.8,105.5,109.1,112.0,,,,,,,,,,,,,機械割は設定1=97.7%/設定2=98.7%/設定3=100.8%/設定4=105.5%/設定5=109.1%/設定6=112.0%、ボーナス初当り確率は設定1=1/349.0/設定2=1/341.3/設定3=1/329.3/設定4=1/300.2/設定5=1/279.7/設定6=1/264.8、CZ「鋼人七瀬攻略議会」出現率は設定1=1/124.5〜設定6=1/103.5、ボーナス直撃当選率は設定1=1/6684.1〜設定6=1/2427.4、ボーナス終了後は必ず「虚構連モード」突入(3段階:ショート継続率約56%・ミドル約81%・ロング約95%)
蛇喰夢子という女,ネット,2023-07-03,AT,97.3,99.0,,,,105.2,,,,,,,,,,,,,青パネル/赤パネルで技術介入と出玉率変化 天井:400G
賞金首Angel,ネット,2024-07-22,スマスロ,97.7,98.8,100.7,105.3,108.2,111.1,,,,,,,,,,,,,AT確率:1/280〜1/220 天井:999G
超華祭,PIONEER（パイオニア）,2023-11-06,ノーマル,97.9,99.8,103.3,,106.3,110.0,1/268,1/260,1/252,1/244,1/237,1/230,1/364,1/352,1/341,1/327,1/315,1/282,AT/スマスロ/天井(約700G+α)、AT純増約5.6枚/G、ベース(50枚あたり)約34.0G(設定1)、機械割(完全告知ノーマル)は設定1=97.9%/設定2=99.8%/設定4=103.3%/設定5=106.3%/設定6=110.0%(設定3未掲載)、BB:RB確率(合算)は設定1=1/274:1/384(合算1/160)〜設定6=1/221:1/279(合算1/123)、完全告知ノーマルタイプ、天井なし
転生したらスライムだった件,山佐,2023-10-02,スマスロ,97.9,98.8,100.5,105.4,108.3,113.0,,,,,,,,,,,,,AT初当り:1/370〜1/245 天井:1200pt
転生したら剣でした,Konami Amusement（コナミアミューズメント）,2025-08-04,スマスロ,97.9,99.0,101.2,105.7,109.1,112.1,,,,,,,,,,,,,"ATタイプ/スマスロ/天井(最大970G+α)、AT純増約2.4枚or約4.5枚/G、ベース約33.3G、導入台数約5,000台、機械割は設定1=97.9%/設定2=99.0%/設定3=101.2%/設定4=105.7%/設定5=109.1%/設定6=112.1%、AT確率は設定1=1/403.8/設定2=1/396.0/設定3=1/373.4/設定4=1/340.7/設定5=1/325.9/設定6=1/312.8、ゲーム数上乗せ型AT「転剣RUSH」、「SUPER」7段階(SUPER LEGEND継続率約77%)、最強上乗せ特化ゾーン「ゴブリンの大群」"
鉄拳5,山佐,2022-07-19,A+AT,97.8,98.8,100.5,105.5,108.1,111.1,1/273.1,1/268.6,1/264.3,1/256.0,1/248.2,1/240.9,,,,,,,BB確率のみ 天井:750G+α
鉄拳6,山佐,2026-01-05,スマスロ,,,,,,114.9,,,,,,,,,,,,,設定6機械割114.9%、AT初当り(設定6)1/358.5、ポイント天井最大900pt+α(設定変更時500pt+α)、スルー天井:AT非選ボーナス3連続で次回赤7濃厚(設定変更後/上位AT後は2連続)
銀河英雄伝説 Die Neue These,コナミ,2025-12-08,スマスロ,97.9,,,,,111.0,,,,,,,,,,,,,機械割設定1=97.9%〜設定6=111.0%(設定3=100.2%・設定4=105.6%・設定5=108.4%)、ST確率1/393.7(設定1)〜1/259.9(設定6)、ボーナス合成確率1/256.8(設定1)〜1/191.9(設定6)、設定5以上判別目安は概ね1/200前後、下二桁50台での当選振り分けが高設定ほど多い
閃乱カグラ2 SHINOVI MASTER,オーイズミ,2024-02-19,スマスロ,97.5,98.7,100.8,105.1,108.4,111.1,,,,,,,,,,,,,AT初当り:1/360〜1/280 天井:999G
防空少女ラブキューレ2～極限の共鳴～,コナミアミューズメント,2023-08-07,スマスロ,97.9,98.9,100.6,105.5,108.0,112.1,1/277,1/273,1/268,1/264,1/256,1/248,,,,,,,ボーナス確率のみ
革命機ヴァルヴレイヴ2,SANKYO,2025-11-04,スマスロ,97.7,99.3,,104.7,110.8,114.9,,,,,,,,,,,,,AT初当り(設定6):1/456 / 設定6機械割114.9%
頭文字D,サミー,2021-01-12,A+AT,97.9,98.9,100.5,104.4,107.2,108.2,1/277.7,1/275.4,1/270.8,1/260.1,1/252.1,1/244.5,,,,,,,ボーナス確率のみ 天井:555G+α
頭文字D 2nd,サミー,2024-05-07,スマスロ,97.8,98.8,100.8,105.4,108.5,113.1,,,,,,,,,,,,,AT初当り:1/399〜1/299 天井:599G+α
鬼武者3,エンターライズ,2024-10-07,スマスロ,97.3,,,,,110.3,,,,,,,,,,,,,ボーナス初当り確率1/412.9(設定1)〜1/335.2(設定6)、機械割97.3%〜110.3%、弱チェリー・スイカ・弱チャンス目成立時の(超)高確移行抽選は高設定優遇、規定小役ポイント(100〜500pt)は高設定ほど低ポイントが選択されやすい。新鬼武者3(別行)とは別データの可能性あり
魔法少女育成計画,カルミナ,2022-10-17,A+ART,97.7,98.7,100.5,104.4,106.1,107.8,,,,,,,,,,,,,完全攻略で102%超
麻雀格闘倶楽部 覚醒,コナミアミューズメント,2023-09-04,スマスロ,97.6,98.7,100.6,105.5,108.1,110.1,,,,,,,,,,,,,AT初当り:1/224〜1/141 天井:960G+α
麻雀格闘倶楽部参,コナミアミューズメント,2019-03-04,AT,97.5,98.6,100.4,104.3,107.2,110.1,,,,,,,,,,,,,AT初当り:1/263〜1/159 天井:777G
